Age of tree,Category,Color,Expiration date,ID,Pollination group,Product,Tree ID,Variety
34 YR,Fruit,Yellow-ish white,2019-11-19,61661936,Group B,Apple,22408068,Braeburn
75,Fruit,Yellow-ish white,2019-11-05,21145995,Group C,Apple,73003120,Crispin
28 YR,Fruit,Yellow-ish white,2019-03-24,57463902,Group F,Apple,59487975,Crispin
33 YR,Fruit,Yellow-ish white,2019-02-18,91855244,Group B,Apple,12224098,Delicious
34 YR,Fruit,Red,2019-08-29,74316588,Group D,Apple,43321407,Jonagold
73,Fruit,Yellow-ish white,2019-08-12,93984997,Group E,Apple,13582128,Jonagold
85,Fruit,Yellow-ish white,2019-07-08,02956909,Group F,Apple,87614275,Delicious
89 YR,Fruit,White,2019-05-27,60776471,Group B,Apple,81167791,Honeycrisp
31,Fruit,Red,2019-07-16,15220479,Group B,Apple,27136683,Gala
16,Fruit,White,2019-03-11,19046587,Group F,Apple,05489619,Gala
60,Fruit,Yellow,2019-09-11,93073028,Group B,Apple,87495027,Delicious
87 YR,Fruit,Yellow-ish white,2019-06-04,09818279,Group F,Apple,20252694,Gala
41,Fruit,White,2019-09-13,49045406,Group B,Apple,68048112,Jonagold
