Age of tree,Category,Color,Expiration date,ID,Pollination group,Product,Tree ID,Variety
86,Fruit,White,2019-04-28,51290757,Group D,Apple,18545258,Honeycrisp
33 YR,Fruit,Yellow,2019-02-16,54705562,Group D,Apple,15288738,Jonagold
81,Fruit,White,2019-09-17,33936741,Group C,Apple,67303366,Braeburn
36 YR,Fruit,Yellow,2019-04-08,24761130,Group A,Apple,00098632,Jonagold
36,Fruit,Red,2019-08-17,12930500,Group A,Apple,60536181,Braeburn
51 YR,Fruit,Yellow,2019-04-08,77224712,Group E,Apple,19400822,Honeycrisp
85,Fruit,Yellow-ish white,2019-03-18,55331708,Group D,Apple,98500383,Delicious
10,Fruit,Red,2019-09-02,23820586,Group C,Apple,15663306,Braeburn
67,Fruit,White,2019-04-20,39523235,Group A,Apple,11827535,Delicious
36 YR,Fruit,White,2019-03-23,20955458,Group D,Apple,99571290,Jonagold
34,Fruit,Red,2019-04-12,69536489,Group D,Apple,39946140,Honeycrisp
12,Fruit,Yellow-ish white,2019-03-14,30354036,Group F,Apple,29188079,Crispin
53 YR,Fruit,Red,2019-06-26,22720948,Group D,Apple,88096513,Gala
21,Fruit,Red,2019-12-19,02102245,Group C,Apple,08963826,Crispin
85,Fruit,Red,2019-10-16,25405293,Group B,Apple,90827709,Jonagold
18 YR,Fruit,Yellow,2019-11-04,92986695,Group B,Apple,70087284,Delicious
16 YR,Fruit,Yellow-ish white,2019-03-18,67161959,Group A,Apple,88323411,Crispin
48,Fruit,Red,2019-02-23,80455486,Group A,Apple,68698584,Honeycrisp
60 YR,Fruit,Yellow,2019-01-05,76921766,Group D,Apple,09996328,Honeycrisp
