Age of tree,Category,Color,Expiration date,ID,Pollination group,Product,Tree ID,Variety
29 YR,Fruit,White,2019-03-27,43950454,Group E,Apple,46198983,Honeycrisp
24 YR,Fruit,Red,2019-11-22,98098071,Group F,Apple,56318999,Gala
39,Fruit,Red,2019-11-20,00787116,Group D,Apple,55874731,Braeburn
16 YR,Fruit,Red,2019-12-10,37146740,Group C,Apple,10656587,Crispin
61,Fruit,Red,2019-10-27,72730980,Group D,Apple,56660449,Delicious
85 YR,Fruit,Yellow,2019-01-19,41720127,Group B,Apple,99690670,Braeburn
41 YR,Fruit,Red,2019-05-28,91523532,Group B,Apple,29421480,Jonagold
66,Fruit,Yellow,2019-06-27,88765624,Group A,Apple,45347528,Delicious
45,Fruit,Red,2019-03-13,39730558,Group F,Apple,20259631,Delicious
51,Fruit,Yellow,2019-01-09,83886928,Group F,Apple,91014610,Gala
54 YR,Fruit,Yellow,2019-11-28,16129771,Group B,Apple,91358912,Jonagold
49 YR,Fruit,Yellow-ish white,2019-09-11,79265706,Group E,Apple,11996828,Jonagold
58 YR,Fruit,Yellow-ish white,2019-03-04,79209519,Group F,Apple,31948135,Delicious
25,Fruit,Yellow-ish white,2019-06-11,42522447,Group D,Apple,48013727,Braeburn
41,Fruit,Yellow,2019-10-10,81527946,Group A,Apple,37308018,Crispin
18,Fruit,White,2019-04-11,03357408,Group F,Apple,95958125,Honeycrisp
63 YR,Fruit,Yellow,2019-04-27,65805688,Group D,Apple,85709652,Crispin
65,Fruit,White,2019-03-19,75138509,Group C,Apple,96227022,Crispin
69 YR,Fruit,Red,2019-03-19,10828618,Group A,Apple,76730368,Jonagold
23,Fruit,Yellow,2019-03-30,68578336,Group D,Apple,10719497,Gala
36,Fruit,Red,2019-12-15,93811149,Group F,Apple,01561579,Delicious
53,Fruit,Yellow,2019-11-21,91878700,Group F,Apple,22461513,Delicious
34,Fruit,White,2019-05-19,97948308,Group A,Apple,61960893,Gala
57,Fruit,Yellow,2019-02-25,86084062,Group A,Apple,67098828,Honeycrisp
61,Fruit,Yellow-ish white,2019-04-17,56735598,Group F,Apple,76934797,Braeburn
