Age of tree,Category,Color,Expiration date,ID,Pollination group,Product,Tree ID,Variety
83,Fruit,Yellow,2019-05-28,63332186,Group D,Apple,92533240,Gala
60 YR,Fruit,Yellow,2019-04-11,37170431,Group D,Apple,30125735,Gala
60 YR,Fruit,Yellow-ish white,2019-12-08,82517250,Group F,Apple,85411005,Delicious
42,Fruit,Yellow-ish white,2019-07-06,33081410,Group D,Apple,72388006,Jonagold
66,Fruit,Yellow-ish white,2019-06-05,70748222,Group C,Apple,83664250,Gala
71,Fruit,White,2019-06-16,65889237,Group A,Apple,37497750,Crispin
39,Fruit,Red,2019-09-07,00301954,Group C,Apple,46482112,Braeburn
43 YR,Fruit,Yellow-ish white,2019-11-25,29853670,Group A,Apple,45971266,Honeycrisp
66,Fruit,Yellow-ish white,2019-02-05,91356314,Group B,Apple,24224680,Delicious
11 YR,Fruit,Yellow,2019-02-18,61677760,Group C,Apple,67056477,Gala
21,Fruit,White,2019-12-20,88041285,Group A,Apple,58791134,Honeycrisp
32 YR,Fruit,Red,2019-04-06,23343788,Group F,Apple,86279161,Honeycrisp
43 YR,Fruit,Yellow-ish white,2019-08-10,41385395,Group A,Apple,81811274,Braeburn
68 YR,Fruit,Yellow,2019-12-04,70739343,Group E,Apple,49815948,Honeycrisp
47 YR,Fruit,White,2019-04-22,07514289,Group F,Apple,95977553,Gala
57 YR,Fruit,White,2019-01-28,90162411,Group B,Apple,74279197,Gala
37 YR,Fruit,Red,2019-06-27,17235976,Group C,Apple,24439480,Braeburn
80,Fruit,Yellow,2019-02-21,14459177,Group B,Apple,76834332,Gala
50 YR,Fruit,Red,2019-07-10,42121251,Group E,Apple,78244221,Honeycrisp
83 YR,Fruit,Yellow-ish white,2019-05-14,69724039,Group D,Apple,57943015,Honeycrisp
81 YR,Fruit,Yellow-ish white,2019-08-19,27487792,Group F,Apple,33381060,Honeycrisp
31,Fruit,White,2019-10-03,19014906,Group B,Apple,96840818,Braeburn
28,Fruit,Yellow-ish white,2019-06-23,71205748,Group A,Apple,24566001,Crispin
21 YR,Fruit,Yellow-ish white,2019-01-24,24781961,Group F,Apple,24233132,Crispin
12,Fruit,White,2019-01-02,52524240,Group D,Apple,86871273,Jonagold
28 YR,Fruit,White,2019-01-15,59466703,Group D,Apple,28432760,Jonagold
40,Fruit,Yellow-ish white,2019-11-14,82835521,Group E,Apple,87756395,Gala
41 YR,Fruit,White,2019-08-02,19655765,Group A,Apple,31458351,Crispin
52,Fruit,Yellow,2019-07-19,73633471,Group D,Apple,16292741,Delicious
18,Fruit,Yellow,2019-02-19,69965449,Group F,Apple,96798713,Braeburn
83 YR,Fruit,Yellow-ish white,2019-05-31,29602988,Group B,Apple,49923001,Jonagold
41,Fruit,Yellow,2019-10-02,89738641,Group D,Apple,42667483,Honeycrisp
84,Fruit,Red,2019-01-31,80567998,Group D,Apple,42550532,Crispin
62 YR,Fruit,Red,2019-12-26,07406157,Group F,Apple,08697783,Gala
45 YR,Fruit,Yellow-ish white,2019-03-28,28375807,Group A,Apple,79657808,Delicious
83,Fruit,Yellow,2019-10-25,26467870,Group F,Apple,93251983,Crispin
15 YR,Fruit,Yellow-ish white,2019-05-12,36625413,Group F,Apple,86558396,Delicious
79 YR,Fruit,Red,2019-01-29,29356430,Group F,Apple,31370691,Crispin
29,Fruit,Yellow,2019-12-03,02655307,Group C,Apple,88454467,Braeburn
84,Fruit,Yellow-ish white,2019-06-24,13347130,Group C,Apple,91939067,Honeycrisp
