Category,Expiration date,Generation number,ID,Product,Tree ID,Variety
"Fruit, Berry",2019-09-25,3,6209,Banana,48925693,Cavendish
"Fruit, Berry",2019-08-30,3,3683,Banana,92925021,Cavendish
"Fruit, Berry",2019-06-20,3,5894,Banana,45324574,Cavendish
"Fruit, Berry",2019-08-30,3,7206,Banana,96766071,Cavendish
"Fruit, Berry",2019-12-10,3,9681,Banana,63081190,Cavendish
"Fruit, Berry",2019-11-25,3,0612,Banana,59670544,Cavendish
"Fruit, Berry",2019-04-29,3,7645,Banana,27773109,Cavendish
"Fruit, Berry",2019-07-09,3,4623,Banana,24608848,Cavendish
"Fruit, Berry",2019-01-07,3,6698,Banana,43291250,Cavendish
"Fruit, Berry",2019-09-26,3,3392,Banana,90051531,Cavendish
"Fruit, Berry",2019-06-14,3,1823,Banana,33228044,Cavendish
"Fruit, Berry",2019-03-19,3,9661,Banana,51770143,Cavendish
"Fruit, Berry",2019-12-14,3,0941,Banana,00310529,Cavendish
"Fruit, Berry",2019-06-10,3,7811,Banana,54066014,Cavendish
"Fruit, Berry",2019-10-18,3,5232,Banana,46587459,Cavendish
"Fruit, Berry",2019-03-12,3,1841,Banana,33295817,Cavendish
"Fruit, Berry",2019-03-24,3,4009,Banana,92925786,Cavendish
"Fruit, Berry",2019-01-23,3,8482,Banana,51093358,Cavendish
"Fruit, Berry",2019-07-30,3,6868,Banana,03725948,Cavendish
"Fruit, Berry",2019-01-24,3,2459,Banana,75818029,Cavendish
"Fruit, Berry",2019-12-24,3,1311,Banana,93266710,Cavendish
"Fruit, Berry",2019-06-28,3,4446,Banana,01931525,Cavendish
"Fruit, Berry",2019-08-29,3,3028,Banana,25240061,Cavendish
