Category,Expiration date,Generation number,ID,Product,Tree ID,Variety
"Fruit, Berry",2019-12-21,3,5592,Banana,04328940,Cavendish
"Fruit, Berry",2019-02-24,3,6266,Banana,05835706,Cavendish
"Fruit, Berry",2019-09-17,3,0006,Banana,62059138,Cavendish
"Fruit, Berry",2019-01-01,3,2143,Banana,28532330,Cavendish
"Fruit, Berry",2019-01-29,3,3919,Banana,30275911,Cavendish
"Fruit, Berry",2019-02-14,3,1644,Banana,55924306,Cavendish
"Fruit, Berry",2019-01-31,3,4224,Banana,33147161,Cavendish
"Fruit, Berry",2019-06-22,3,6017,Banana,62264419,Cavendish
"Fruit, Berry",2019-08-23,3,8776,Banana,21118456,Cavendish
"Fruit, Berry",2019-04-19,3,9626,Banana,64883670,Cavendish
"Fruit, Berry",2019-02-16,3,2429,Banana,68765354,Cavendish
"Fruit, Berry",2019-08-14,3,7057,Banana,07602122,Cavendish
"Fruit, Berry",2019-05-28,3,1015,Banana,52877315,Cavendish
"Fruit, Berry",2019-10-06,3,9013,Banana,22535160,Cavendish
"Fruit, Berry",2019-07-31,3,1256,Banana,61582453,Cavendish
"Fruit, Berry",2019-09-01,3,1043,Banana,10886892,Cavendish
"Fruit, Berry",2019-11-01,3,9533,Banana,60506801,Cavendish
"Fruit, Berry",2019-03-29,3,7221,Banana,84553812,Cavendish
"Fruit, Berry",2019-10-20,3,2631,Banana,57016696,Cavendish
"Fruit, Berry",2019-05-10,3,7795,Banana,01459128,Cavendish
"Fruit, Berry",2019-03-31,3,1738,Banana,52900990,Cavendish
"Fruit, Berry",2019-07-15,3,8045,Banana,47134522,Cavendish
"Fruit, Berry",2019-03-20,3,7078,Banana,24622189,Cavendish
